Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
07/09/2004,1608.91,1615.16,1607.12,1615.16,1632.5142857143
08/09/2004,1615.34,1622.53,1615.34,1620.99,1647.7196428572
09/09/2004,1621.64,1631.31,1621.64,1626.55,1670.2957142857
13/09/2004,1647.92,1691.14,1647.92,1679.43,1692.9935714286
14/09/2004,1679.43,1700.83,1674.01,1683,1729.0867857143
15/09/2004,1774.37,1774.79,1695.8,1723.56,1771.55
16/09/2004,1723.74,1745.43,1721.56,1741.85,1829.4046428572
19/09/2004,1772.26,1821.09,1772.26,1814.45,1858.0207142857
20/09/2004,1814.63,1868.4,1814.63,1868.4,1886.5853571429
21/09/2004,1868.77,1965.4,1868.77,1965.31,1913.9671428572
22/09/2004,1967.91,2030.46,1863.36,1896.75,1928.3707142857
23/09/2004,1897.68,1951.8,1875.48,1927.59,1927.8507142857
26/09/2004,1943.75,1963.53,1943.7,1957.8,1910.7467857143
27/09/2004,1958.17,1965.73,1939.35,1939.35,1893.5332142857
28/09/2004,1940.1,1943.92,1900.16,1907.87,1891.0207142857
29/09/2004,1907.5,1908.76,1847.13,1854.88,1888.6310714286
30/09/2004,1855.25,1855.25,1812.54,1852.51,1885.8710714286
03/10/2004,1882.66,1898.34,1882.66,1895.2,1884.2864285714
04/10/2004,1895.38,1908.12,1887.55,1895.47,1884.0467857143
05/10/2004,1895.65,1904.56,1881.19,1889.4,1875.1164285714
06/10/2004,1889.4,1893.34,1879.33,1884.33,1866.6096428572
07/10/2004,1885.26,1892.26,1872.59,1881.85,1852.9525
10/10/2004,1856.79,1858.27,1833.53,1843.37,1839.6367857143
11/10/2004,1843.55,1855.19,1837.8,1843.42,1825.7942857143
12/10/2004,1844.37,1853.9,1821.09,1821.52,1798.725
13/10/2004,1821.52,1821.53,1782.47,1812.36,1770.6842857143
14/10/2004,1812.73,1812.77,1790.32,1798.38,1761.8646428572
17/10/2004,1782.52,1782.52,1731.19,1732.47,1765.0410714286
18/10/2004,1732.29,1732.29,1696.76,1706.89,1765.5882142857
19/10/2004,1705.41,1764.38,1705.1,1758.78,1753.5807142857
20/10/2004,1759.34,1803.14,1759.34,1794.68,1743.9785714286
21/10/2004,1795.42,1803.31,1772.12,1777.2,1738.6342857143
24/10/2004,1734.73,1734.73,1715.47,1720.65,1740.2275
25/10/2004,1722.51,1726.34,1714.25,1717.17,1753.1314285714
26/10/2004,1717.92,1723.07,1711.89,1722.6,1760.1564285714
27/10/2004,1722.6,1754.36,1722.6,1748.94,1767.5457142857
28/10/2004,1752.22,1806.64,1752.22,1800.19,1772.9146428572
31/10/2004,1816.46,1823.2,1777.78,1782.59,1783.1310714286
01/11/2004,1778.64,1788.48,1776.06,1782.32,1796.4160714286
02/11/2004,1783.5,1787.44,1771.03,1774.97,1810.0642857143
07/11/2004,1771.69,1802.54,1759.67,1802.12,1817.7067857143
08/11/2004,1802.12,1827.89,1802.12,1826.53,1824.8003571429
09/11/2004,1830.48,1844.52,1826.76,1842.83,1843.7789285714
10/11/2004,1842.83,1848.3,1832.22,1832.22,1876.0596428572
11/11/2004,1832.22,1836.74,1830.25,1834.6,1902.7325
18/11/2004,1834.6,1889.57,1834.6,1889.57,1927.2614285714
21/11/2004,1938.23,1961.96,1938.23,1958.1,1956.5296428572
22/11/2004,1957.91,1964.84,1941.52,1961.83,1993.7642857143
23/11/2004,1960.16,1976.07,1956.07,1976.07,2027.3928571429
24/11/2004,1976.68,2020.05,1976.68,2016.39,2051.0342857143
25/11/2004,2016.39,2077.75,2016.39,2073.05,2070.1225
28/11/2004,2110,2110,2079.52,2093.03,2086.2128571429
29/11/2004,2092.65,2101.99,2052.16,2090,2098.5807142857
30/11/2004,2089.82,2102.8,2078.82,2100.42,2107.1717857143
01/12/2004,2100.42,2137.19,2100.42,2108.76,2118.99
05/12/2004,2108.95,2141.21,2096.3,2114.86,2149.0939285714
06/12/2004,2114.86,2124.9,2095.98,2119.58,2180.1939285714
07/12/2004,2119.39,2147.82,2117.79,2147.23,2217.7157142857
08/12/2004,2149.46,2234.62,2149.46,2230.97,2261.7439285714
09/12/2004,2253.99,2284.36,2245.9,2254.66,2319.0739285714
12/12/2004,2274.61,2307.25,2274.61,2303.87,2364.9192857143
13/12/2004,2303.68,2362.39,2303.68,2358.96,2393.2125
14/12/2004,2359.52,2447.91,2359.52,2447.91,2419.5925
15/12/2004,2449.4,2474.58,2443.76,2449.55,2433.9310714286
16/12/2004,2450.29,2453.08,2401.83,2426.48,2437.6425
19/12/2004,2434.7,2466.65,2431.75,2458.72,2428.9385714286
20/12/2004,2460.56,2474.05,2442.7,2443.09,2420.5796428572
21/12/2004,2441.98,2442.26,2416.29,2427.5,2422.4792857143
22/12/2004,2427.68,2427.68,2390.8,2395.5,2430.2017857143
23/12/2004,2395.13,2403.33,2343.48,2402.1,2434.3875
