Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
17/05/76 00:00,1.1737,1.1737,1.1737,1.1737,1.1779928571
18/05/76 00:00,1.1755,1.1755,1.1755,1.1755,1.1767821429
19/05/76 00:00,1.1781,1.1781,1.1781,1.1781,1.1765357143
20/05/76 00:00,1.1781,1.1781,1.1781,1.1781,1.1762892857
21/05/76 00:00,1.1744,1.1744,1.1744,1.1744,1.1754178571
24/05/76 00:00,1.1769,1.1769,1.1769,1.1769,1.1752357143
25/05/76 00:00,1.1759,1.1759,1.1759,1.1759,1.1742392857
26/05/76 00:00,1.1726,1.1726,1.1726,1.1726,1.1728642857
27/05/76 00:00,1.1752,1.1752,1.1752,1.1752,1.1725964286
28/05/76 00:00,1.1719,1.1719,1.1719,1.1719,1.1721642857
01/06/76 00:00,1.1695,1.1695,1.1695,1.1695,1.1717642857
02/06/76 00:00,1.1727,1.1727,1.1727,1.1727,1.1721321429
03/06/76 00:00,1.1718,1.1718,1.1718,1.1718,1.1725892857
04/06/76 00:00,1.1712,1.1712,1.1712,1.1712,1.1733107143
07/06/76 00:00,1.1736,1.1736,1.1736,1.1736,1.1731964286
08/06/76 00:00,1.1741,1.1741,1.1741,1.1741,1.1731892857
09/06/76 00:00,1.175,1.175,1.175,1.175,1.173275
10/06/76 00:00,1.1721,1.1721,1.1721,1.1721,1.1733821429
11/06/76 00:00,1.1729,1.1729,1.1729,1.1729,1.1733285714
14/06/76 00:00,1.1733,1.1733,1.1733,1.1733,1.1732857143
15/06/76 00:00,1.1736,1.1736,1.1736,1.1736,1.1729964286
16/06/76 00:00,1.1733,1.1733,1.1733,1.1733,1.1725071429
17/06/76 00:00,1.1733,1.1733,1.1733,1.1733,1.1723821429
18/06/76 00:00,1.1722,1.1722,1.1722,1.1722,1.1725285714
21/06/76 00:00,1.171,1.171,1.171,1.171,1.173225
22/06/76 00:00,1.1723,1.1723,1.1723,1.1723,1.1733035714
23/06/76 00:00,1.1733,1.1733,1.1733,1.1733,1.1734571429
24/06/76 00:00,1.1755,1.1755,1.1755,1.1755,1.17415
25/06/76 00:00,1.1733,1.1733,1.1733,1.1733,1.1746642857
28/06/76 00:00,1.1736,1.1736,1.1736,1.1736,1.1749142857
29/06/76 00:00,1.1758,1.1758,1.1758,1.1758,1.1750607143
30/06/76 00:00,1.1756,1.1756,1.1756,1.1756,1.1752392857
