Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
07/01/1929,24.25,24.25,24.25,24.25,24.5082142857
08/01/1929,24.17,24.17,24.17,24.17,24.4982142857
09/01/1929,24.54,24.54,24.54,24.54,24.5103571429
10/01/1929,24.58,24.58,24.58,24.58,24.4421428571
11/01/1929,24.54,24.54,24.54,24.54,24.4785714286
14/01/1929,24.59,24.59,24.59,24.59,24.5364285714
15/01/1929,24.23,24.23,24.23,24.23,24.5957142857
16/01/1929,24.56,24.56,24.56,24.56,24.6692857143
17/01/1929,24.69,24.69,24.69,24.69,24.7853571429
18/01/1929,24.77,24.77,24.77,24.77,24.92
21/01/1929,24.86,24.86,24.86,24.86,24.9921428571
22/01/1929,25.07,25.07,25.07,25.07,25.1396428571
23/01/1929,25.22,25.22,25.22,25.22,25.2217857143
24/01/1929,25.06,25.06,25.06,25.06,25.2828571429
25/01/1929,25.48,25.48,25.48,25.48,25.3453571429
28/01/1929,25.35,25.35,25.35,25.35,25.4592857143
29/01/1929,25.36,25.36,25.36,25.36,25.5742857143
30/01/1929,25.45,25.45,25.45,25.45,25.6171428571
31/01/1929,25.74,25.74,25.74,25.74,25.6542857143
01/02/1929,25.84,25.84,25.84,25.84,25.6310714286
04/02/1929,25.64,25.64,25.64,25.64,25.4078571429
05/02/1929,25.7,25.7,25.7,25.7,25.1403571429
06/02/1929,25.49,25.49,25.49,25.49,25.0439285714
07/02/1929,24.71,24.71,24.71,24.71,24.9671428571
08/02/1929,24.44,24.44,24.44,24.44,24.8971428571
11/02/1929,24.98,24.98,24.98,24.98,24.7303571429
13/02/1929,24.95,24.95,24.95,24.95,24.6217857143
14/02/1929,24.85,24.85,24.85,24.85,24.55
15/02/1929,24.35,24.35,24.35,24.35,24.5425
18/02/1929,24.39,24.39,24.39,24.39,24.5971428571
19/02/1929,24.38,24.38,24.38,24.38,24.6685714286
20/02/1929,24.59,24.59,24.59,24.59,24.7514285714
21/02/1929,24.86,24.86,24.86,24.86,24.9057142857
25/02/1929,24.91,24.91,24.91,24.91,25.1128571429
26/02/1929,24.95,24.95,24.95,24.95,25.3371428571
27/02/1929,25.25,25.25,25.25,25.25,25.4246428571
28/02/1929,25.59,25.59,25.59,25.59,25.4375
01/03/1929,25.83,25.83,25.83,25.83,25.3339285714
04/03/1929,25.49,25.49,25.49,25.49,25.2875
05/03/1929,25.32,25.32,25.32,25.32,25.2739285714
06/03/1929,24.92,24.92,24.92,24.92,25.1682142857
07/03/1929,25.15,25.15,25.15,25.15,25.0903571429
08/03/1929,25.31,25.31,25.31,25.31,25.1107142857
11/03/1929,24.95,24.95,24.95,24.95,25.2625
12/03/1929,24.97,24.97,24.97,24.97,25.4871428571
13/03/1929,25.24,25.24,25.24,25.24,25.6603571429
14/03/1929,25.73,25.73,25.73,25.73,25.7992857143
15/03/1929,26.08,26.08,26.08,26.08,25.91
18/03/1929,26.04,26.04,26.04,26.04,25.9525
19/03/1929,26.03,26.03,26.03,26.03,25.8742857143
20/03/1929,26.02,26.02,26.02,26.02,25.525
21/03/1929,25.9,25.9,25.9,25.9,25.1792857143
22/03/1929,25.55,25.55,25.55,25.55,25.0803571429
25/03/1929,24.51,24.51,24.51,24.51,25.1253571429
